kaite 凯特
cangyinyayin 藏银鸦印
juejinyayin 攫金鸦印
pianpianhuami 骗骗花蜜
weiguanghuami 微光花蜜
yuansuhuami 原素花蜜
cuiruodegupian 脆弱的骨片
jieshidegupian 结实的骨片
shihuadegupian 石化的骨片
pojiudedaochan 破旧的刀镡
yingdadaochan 影打刀镡
mingdaochan 名刀镡
hundunjiguan 混沌机关
hundunshuniu 混沌枢纽
hundunzhenyan 混沌真眼
andanlengjing 黯淡棱镜
shuijinglengjing 水晶棱镜
pianguanglengjing 偏光棱镜
fuyouganhe 浮游干核
fuyouyouhe 浮游幽核
fuyoujinghuahe 浮游晶化核
yinshouzhizhao 隐兽指爪
yinshoulizhua 隐兽利爪
yinshouguizhao 隐兽鬼爪
xunshoubaozi 蕈兽孢子
yingguangbaofen 荧光孢粉
baonangjingchen 孢囊晶尘
shihuojunhe 失活菌核
xiumianjunhe 休眠菌核
zhuozhuangjunhe 茁壮菌核
tuishaihongchou 褪色红绸
xiangbianhongchou 镶边红绸
zhijinhongchou 织金红绸
hundunrongqi 混沌容器
hundunmokuai 混沌模块
hundunmaoshuan 混沌锚栓
poquelengjing 破缺棱晶
hunzhuolengjing 混浊棱晶
huiguanglengjing 辉光棱晶
canhuidehengji 残毁的横脊
migudehengji 密固的横脊
qiewendehengji 锲纹的横脊
jufengzhizhong 飓风之种
leiguanglengjing 雷光棱镜
dongfengzhiling 东风之翎
dongfengzhizhao 东风之爪
dongfengdetuxi 东风的吐息
beifengzhiwei 北风之尾
beifengzhihuan 北风之环
beifengdehunxia 北风的魂匣
xuanyanzhita 玄岩之塔
jihanzhihe 极寒之核
changranhuozhong 常燃火种
jingshuizhixin 净水之心
tuntianzhijing 吞天之鲸
mowangzhiren 魔王之刃
wulianzhihun 武炼之魂
weishuzhiyu 未熟之玉
longwangzhimian 龙王之冕
xueyuzhizhi 血玉之枝
liujinzhilin 鎏金之鳞
jingningzhihua 晶凝之华
yimengrongmei 异梦溶媒
mooujixin 魔偶机心
hengchangjiguanzhixin 恒常机关之心
yinranzhizhu 阴燃之珠
ronghuizhike 熔毁之刻
yuhuozhidie 狱火之蝶
huijinzhixin 灰烬之心
paiyizhilu 排异之露
leitingshuzhu 雷霆数珠
shoujingwangqi 兽境王器
longsiweiqi 龙嗣伪鳍
xiongjiangzhishouyan 凶将之手眼
huoshenzhixilei 祸神之禊泪
wanjiezhizhenyi 万劫之真意
fuwenzhichi 符纹之齿
xunwanggouhui 蕈王钩喙
cangleiyeshi 藏雷野实
yongxujixin 永续机芯
daoguangsimianti 导光四面体
miezhengcaoman 灭诤草蔓
kuileidexuansi 傀儡的悬丝
wuxindeyuanjing 无心的渊镜
kongxingdexuling 空行的虚铃
cangliruiyu 苍砾蕊羽
gaotaguwangdepowa 高塔孤王的破瓦
gaotaguwangdecanyuan 高塔孤王的残垣
gaotaguwangdeduanpian 高塔孤王的断片
gaotaguwangdesuimeng 高塔孤王的碎梦
linfengbenlangdeshichen 凛风奔狼的始龀
linfengbenlangdeliechi 凛风奔狼的裂齿
linfengbenlangdeduanya 凛风奔狼的断牙
linfengbenlangdehuaixiang 凛风奔狼的怀乡
shiyadoushidejiasuo 狮牙斗士的枷锁
shiyadoushidetielian 狮牙斗士的铁链
shiyadoushideliaokao 狮牙斗士的镣铐
shiyadoushidelixiang 狮牙斗士的理想
guyunhanlindeguangsha 孤云寒林的光砂
guyunhanlindehuiyan 孤云寒林的辉岩
guyunhanlindeshenghai 孤云寒林的圣骸
guyunhanlindeshenti 孤云寒林的神体
wuhaiyunjiandeqiandan 雾海云间的铅丹
wuhaiyunjiandegongdan 雾海云间的汞丹
wuhaiyunjiandejindan 雾海云间的金丹
wuhaiyunjiandezhuanhai 雾海云间的转还
qiheiyuntiedeyili 漆黑陨铁的一粒
qiheiyuntiedeyipian 漆黑陨铁的一片
qiheiyuntiedeyijiao 漆黑陨铁的一角
qiheiyuntiedeyikuai 漆黑陨铁的一块
yuanhaiyididehuzhi 远海夷地的瑚枝
yuanhaiyidideyuzhi 远海夷地的玉枝
yuanhaiyidideqiongzhi 远海夷地的琼枝
yuanhaiyididejinzhi 远海夷地的金枝
mingshenyulingdeminghui 鸣神御灵的明惠
mingshenyulingdehuanxi 鸣神御灵的欢喜
mingshenyulingdeqinai 鸣神御灵的亲爱
mingshenyulingdeyongwu 鸣神御灵的勇武
jinxijuhuazhiewei 今昔剧画之恶尉
jinxijuhuazhihunie 今昔剧画之虎啮
jinxijuhuazhiyijiao 今昔剧画之一角
jinxijuhuazhiguiren 今昔剧画之鬼人
milinjuanludetongfu 谧林涓露的铜符
milinjuanludetiefu 谧林涓露的铁符
milinjuanludeyinfu 谧林涓露的银符
milinjuanludejinfu 谧林涓露的金符
lvzhouhuayuandezhuiyi 绿洲花园的追忆
lvzhouhuayuandeenhui 绿洲花园的恩惠
lvzhouhuayuandeaisi 绿洲花园的哀思
lvzhouhuayuandezhendi 绿洲花园的真谛
lieriweiquandecanxiang 烈日威权的残响
lieriweiquandeyuguang 烈日威权的余光
lieriweiquandemengxiang 烈日威权的梦想
lieriweiquandejiuri 烈日威权的旧日
qichengbujibao 启程补给包
yuanxingbujibao 远行补给包
youlibujibao 游历补给包
qizhenfenxiangbao 奇珍分享包
gaoji 高级
chaoji 超级
diji 低级
meidefenxiangbao 美德分享包
maoxianzhulibujibao 冒险助力补给包
maoxianzhulikuangcaibao 冒险助力矿材包
maoxianzhulitegongbao 冒险助力特供包
maoxianzhulijiaocaibao 冒险助力教材包
maoxianzhulicuilianbao 冒险助力淬炼包
cailiaofenxiangbao 材料分享包
liangcaifenxiangbao 良材分享包
shipuji 食谱集
maoxianzhutuikuangcaibao 冒险助推矿材包
maoxiantegongbujibao 冒险特供补给包
beiluyuanpeizhixia 北陆原胚之匣
maoxianzhulifenxiangbao 冒险助力分享包
maoxianwangjitegongbao 冒险旺季特供包
xiaoyedetebieyuanyidapeibao 咲耶的特别园艺搭配包
shefengxingdezengli 社奉行的赠礼
jingzhidebaishezengli 精致的摆设赠礼
qimiaodebaishezengpin 奇妙的摆设赠品
yangluyuanpeizhixia 央陆原胚之匣
jixingjingyan 纪行经验
jixingbaoxia 纪行宝匣
fengtudezhiyin 风土的指引
fengtudezhexue 风土的哲学
yanjiandezhiyin 岩间的指引
yanjiandezhexue 岩间的哲学
xiaoleidezhiyin 霄雷的指引
xiaoleidezhexue 霄雷的哲学
yincaodezhiyin 茵草的指引
yincaodezhexue 茵草的哲学
shenmishengwuxia 深秘圣物匣
shengyiwuzhixia 圣遗物之匣
shengyiwubaoxia 圣遗物宝匣
geilvxingzhedexiaodangao 给旅行者的小蛋糕
ailanigeinilufadebianqian 爱拉尼给妮露法的便签
jiapijiushidelunwen 迦毗鸠师的论文
fenggandehuaduo 风干的花朵
amaitajiguandesuipian 阿麦塔机关的碎片
jiazhalidemoladai 加扎里的摩拉袋
zhongjiwudidemaoxianshouce 终极无敌的冒险手册
yiluodenengliangkuai 遗落的能量块
guiyideyangpijuan 诡异的羊皮卷
kuweidekushehuan 枯萎的苦舍桓
gulabujierdetezhichongwushekouliang 古拉布吉尔的特制宠物蛇口粮
qiguaidezhuzi 奇怪的珠子
qiguaidexiaoxingmaozi 奇怪的小型帽子
pojiudejiazi 破旧的架子
jiaweidemengxiang 贾维的梦想
canpodezhipian 残破的纸片
mutongyumopingdegushi 牧童与魔瓶的故事
xiluyiyuxilindegushi 希鲁伊与希琳的故事
ahemaerdegushi 阿赫玛尔的故事
xiayelunjing 遐叶论经
fupangejuan 浮槃歌卷
lingguangsong 灵光颂
chenjiudeyaoshi 陈旧的钥匙
qifengdeyangpijuan 启封的羊皮卷
yinludeyangpijuan 引路的羊皮卷
diyudeyangpijuan 低语的羊皮卷
shenmideyangpijuan 神秘的羊皮卷
gulaodegongzuorizhi 古老的工作日志
jiaolingyuankaochaduilinshibaogao 教令院考察队临时报告
zandikedebiji 赞迪克的笔记
suoheleidebiji 索赫蕾的笔记
xumikaochaduidebiji 须弥考察队的笔记
jiepoujilu 解剖记录
canpodechuqinjilu 残破的出勤记录
caigouwuzi 采购物资
binglijilu 病历记录
zhenduanbaogao 诊断报告
shawamadecaigouzijin 沙瓦玛的采购资金
quqingdecaigouzijin 曲清的采购资金
guanchuidecaigouzijin 关垂的采购资金
zhakaliyakaigeimalufudeyaofang 扎卡里亚开给马鲁夫的药方
zhakaliyageimalufudeyao 扎卡里亚给马鲁夫的药
zijiyouyadebijiben 字迹优雅的笔记本
neierminzhizuodebohedoutang 内尔敏制作的薄荷豆汤
weilaixing 未来星
chongnengzhuanhuarongqi 充能转化容器
lifudebaoguo 里夫的包裹
neiermindexiangliao 内尔敏的香料
suoyuezhishi 锁钥之石
qianyegushiji 千夜故事集
sameierdeliuyan 萨梅尔的留言
shawamadedinghuodanju 沙瓦玛的订货单据
quqingdedinghuodanju 曲清的订货单据
guanchuidedinghuodanju 关垂的订货单据
duhunzhizhou 渡魂之舟
shengxianting 圣显厅
bianjingbaolei 边境堡垒
chiwangzhizhu 赤王之柱
juerchengshendian 居尔城神殿
jihuoqijian 激活器件
yonghenglvzhoudejiyi 永恒绿洲的记忆
tadeladelingyu 塔德菈的翎羽
yurenzhongjudianyaoshi 愚人众据点钥匙
sainuodejieshaoxin 赛诺的介绍信
gujiuditu 古旧地图
paimaihuiziliao 拍卖会资料
fengcangziliaoguijizhiting 封藏资料归寂之庭
azhalaidehuokuan 阿扎莱的货款
lamadeshouhuodan 拉玛的收货单
buteluosideshouhuodan 布特罗斯的收货单
zhutedeshouhuodan 朱特的收货单
jiahanjierdeshouhuodan 贾汉吉尔的收货单
xiandingkuanshamotebielvxingbao 限定款沙漠特别旅行包
mengniedezhusun 萌蘖的竹笋
yifengduanxin 一封短信
yixikeyibianrendemingwen 依稀可以辨认的铭文
canquedezhenliaojilu 残缺的诊疗记录
buzhiherenderiji 不知何人的日记
neibuchelixingdonggongwen 内部撤离行动公文
guanyushiyanyonggetidechubujiance 关于实验用个体的初步检测
zhuanyitongzhiwenjian 转移通知文件
yuantukantanzheliushu 远途勘探者留书
guanyuhuowujiaoyidehuihan 关于货物交易的回函
huodonggonggao 活动公告
zhunbeitigonggeibazhongshenzidexiansuo 准备提供给八重神子的线索
sainuodelaixin 赛诺的来信
laiyiladedinghuodan 莱依拉的订货单
chubudiaochadexiansuo 初步调查的线索
hainiyedebiji 海妮耶的笔记
tebiedeyizhibaozhu 特别的意智宝珠
shenmideyurenzhongxinjian 神秘的愚人众信件
kanshiweijianbingzhiwu 看似为剑柄之物
yihexiangtu 一盒乡土
jieduchudeneirong 解读出的内容
xudongdexin 旭东的信
juerchengjishi 居尔城记事
damashanjishi 达马山记事
huangtongmianjudejiaodao 黄铜面具的教导
gulvzhoujishi 古绿洲记事
zhengfalingshiban 征发令石板
chijiulingyu 赤鹫翎羽
duxieweibu 毒蝎尾部
feishezhijiao 飞蛇之角
zuoya 佐娅
cansundejilu 残损的记录
yinyoutanitehuijidejilu 印有塔尼特徽记的记录
yurenzhongxinjian 愚人众信件
yifengyiliudeshuxin 一封遗留的书信
yinyoujiaolingyuanhuijideyueqi 印有教令院徽记的约契
judajixiedenengyuanxitongfuyuantu 巨大机械的能源系统复原图
geiadefeidemixin 给阿德菲的密信
mouzhongwuqidesuipian 某种武器的碎片
guishubumingdelamianyouhuiquan 归属不明的拉面优惠券
zhengjiedezitiao 整洁的字条
jiededexin 婕德的信
youfeidebiji 优菲的笔记
gulaodeshizhiyaoshi 古老的石制钥匙
beirouzhoudemingdan 被揉皱的名单
cangkuwuzidingdan 仓库物资订单
guyongshouzeshiban 雇佣守则石板
zhanyoujiuxiangdexin 沾有酒香的信
yizhongmogu 异种蘑菇
wumingdewangtingjinyao 无名的王庭禁药
yizhongmogujiaoguanyongshui 异种蘑菇浇灌用水
buzuhangshangdexinjian 部族行商的信件
jiededebiantiao 婕德的便条
retengtengdeyanduxian 热腾腾的腌笃鲜
yanwuchuanxindasairuchangquan 演武传心大赛入场券
laiziwendidezhitiao 来自温迪的纸条
laizikelaidefengzhihua 来自柯莱的风之花
shangduizhangwujilu 商队账务记录
laizixumijingneidexinjian 来自须弥境内的信件
laizidaoqidechangtuxinjian 来自稻妻的长途信件
laibinshisuanpai 来宾食宿安排
hainiyedemiaomiaoqiongzhizengli 海妮耶的妙妙琼脂赠礼
shensuizhixue 深邃之血
zhenshiduanpian 镇石断片
daisangmianju 戴丧面具
chushengbaizhi 初生白枝
nichanghuadezhongzi 霓裳花的种子
tiantianhuadezhongzi 甜甜花的种子
saixiliyahuadezhongzi 塞西莉亚花的种子
liulibaihedezhongzi 琉璃百合的种子
fengchejudezhongzi 风车菊的种子
qingxindezhongzi 清心的种子
liulidaidezhongzi 琉璃袋的种子
luoluomeidezhongzi 落落莓的种子
xiaodengcaodezhongzi 小灯草的种子
jueyunjiaojiaodezhongzi 绝云椒椒的种子
huluobodezhongzi 胡萝卜的种子
bailuobodezhongzi 白萝卜的种子
bohedezhongzi 薄荷的种子
mogudebaozi 蘑菇的孢子
mayidezhongzi 马尾的种子
jinyucaodezhongzi 金鱼草的种子
lianpengdezhongzi 莲蓬的种子
duduliandezhongzi 嘟嘟莲的种子
haicaodezhongzi 海草的种子
hailingzhideyangben 海灵芝的样本
menglihua 梦里花
xiangxinguodezhongzi 香辛果的种子
dunduntaodezhongzi 墩墩桃的种子
xumiqiangweidezhongzi 须弥蔷薇的种子
huajiang 花鳉
liulihuajiang 琉璃花鳉
tiantianhuajiang 甜甜花鳉
lanranhuajiang 蓝染花鳉
qinxiake 擒霞客
shuijingyan 水晶宴
feijiyu 肺棘鱼
doujiyu 斗棘鱼
zhenjiyu 鸩棘鱼
chimowang 赤魔王
xuezhongjun 雪中君
jinchijialong 金赤假龙
qiangjialong 锖假龙
liuwenhedieyu 流纹褐蝶鱼
liuwenjingzidieyu 流纹京紫蝶鱼
liuwenchadieyu 流纹茶蝶鱼
changshengxian 长生仙
leimingxian 雷鸣仙
paotun 炮鲀
kupaotun 苦炮鲀
difudayao 迪芙妲鳐
fumaluoyao 佛玛洛鳐
zhenguojiaotun 真果角鲀
chenbomitao 沉波蜜桃
chuishajiaotun 吹沙角鲀
muyunjiaotun 暮云角鲀
qingjinfuqiangyu 青金斧枪鱼
feiyufuqiangyu 翡玉斧枪鱼
chushizhiyi 初始之翼
shouhouzhiyi 守候之翼
jianglinzhiyi 降临之翼
cangtianqingfengzhiyi 苍天清风之翼
jincongtianxingzhiyi 金琮天行之翼
xueyinzhiyi 雪隐之翼
xiangyanzhiyi 飨宴之翼
leitengyunbenzhiyi 雷腾云奔之翼
xinghancanlanzhiyi 星汉灿烂之翼
senyuhuafanzhiyi 森郁花繁之翼
xingyanzhiyi 星筵之翼
xuanyaoyubo 旋曜玉帛
xiangqisiyidekaoroupai 香气四溢的烤肉排
xiangqisiyidemengdekaoyu 香气四溢的蒙德烤鱼
xiangqisiyidebeidiyanxunji 香气四溢的北地烟熏鸡
xiangqisiyideyegujirouchuan 香气四溢的野菇鸡肉串
xiangqisiyidemanzushala 香气四溢的满足沙拉
xiangqisiyidexiehuanghuotuijushishu 香气四溢的蟹黄火腿焗时蔬
xiangqisiyidemijianghuluobojianrou 香气四溢的蜜酱胡萝卜煎肉
xiangqisiyideyurentusi 香气四溢的渔人吐司
xiangqisiyidezhaluobowanzi 香气四溢的炸萝卜丸子
xiangqisiyidezhuangyuankaosongbing 香气四溢的庄园烤松饼
xiangqisiyideluoboshishutang 香气四溢的萝卜时蔬汤
xiangqisiyidekaomogupisa 香气四溢的烤蘑菇披萨
xiangqisiyidelengroupinpan 香气四溢的冷肉拼盘
xiangqisiyidedudulianhaixiangeng 香气四溢的嘟嘟莲海鲜羹
xiangqisiyideboheguodong 香气四溢的薄荷果冻
xiangqisiyidehuangyoujianyu 香气四溢的黄油煎鱼
dengzhixianwei 灯纸纤维
dengxinrongcai 灯芯绒材
fushengshipian 浮生石片
xiaodeng 霄灯
shuangshisuixie 霜噬碎屑
shuangshijiejing 霜噬结晶
fuzhilongsui 腐殖龙髓
kandejiandefeng 看得见的风
tongzhendeduanpian 童真的断篇
haihuangxiangzhi 海皇香脂
chisuijiusheng 赤穗酒枡
rongmei 溶媒
mingmuzhiyougao 明目之油膏
xiasebaozhu 霞色宝珠
yuanhaiyuyou 原海鱼油
qianfengdecangling 迁风的苍翎
ruoxiadegaomo 若狭的藁末
budiaodejuanhua 不凋的绢华
yingsunzhiwu 鹰隼之舞
tieyi 铁翼
fengzhiquan 风之泉
chenzhong 沉重
lieshouzhiwu 猎手之舞
ganggong 刚弓
xuanwo 漩涡
mengji 猛击
qingying 轻盈
jianrenzhiwu 剑刃之舞
yingyong 英勇
guwu 鼓舞
tiezhige 铁之歌
jiaozhizhiwu 交织之舞
jiyi 祭仪
yizhanyangzhan 以战养战
baofaqiangxiao 爆发强效
wujinzhiwu 无尽之舞
baofazhuanjing 爆发专精
chongnengji 充能技
chongnengqiangxiao 充能强效
jileizhiwu 疾雷之舞
ganlin 甘霖
jingtongqiangxiao 精通强效
sanxianzhiwu 散霰之舞
dongshang 冻伤
ruili 锐利
xingjingzhiwu 星晶之舞
jiejingpianguang 结晶偏光
jiejingfuneng 结晶赋能
tiebi 铁壁
juedouzhiwu 决斗之舞
ningxuehuyou 凝血护佑
qiangxiaozhiliao 强效治疗
chuxing 处刑
caijue 裁决
tiaozhanzhe 挑战者
suiguoxixie 碎果细屑
suiguoliepian 碎果裂片
suiguocankuai 碎果残块
manlaizhiwu 满来之舞
chuandaolv 传导率
linyediaogan 林野钓竿
fengchan 风缠
yuanzhe 愿者
mingchuantisi 鸣川鹈饲
zhangshengxiyue 长绳系月
panyuan 盘缘
yuanshen 原神
jixing 纪行
chengjiu 成就
mengde 蒙德
liyue 璃月
gongzi 公子
rendong 忍冬
qingdian 庆典
daoqi 稻妻
yidou 一斗
liuming 流明
xumi 须弥
fengshentonggongmingshi 风神瞳共鸣石
yanshentonggongmingshi 岩神瞳共鸣石
yanzhixunbaoluopan 岩之寻宝罗盘
bufengping 捕风瓶
koudaimaodian 口袋锚点
xunxiandemeishijia 寻仙的美食家
nongsuoshuzhi 浓缩树脂
sanlingshi 叁零式
fengzhixunbaoluopan 风之寻宝罗盘
xunbaoxianling 寻宝仙灵
minixianling 迷你仙灵
fangreping 放热瓶
liuyingji 留影机
qitedeliuyingji 奇特的留影机
tezhideliuyingji 特制的留影机
canliangzhibianyi 参量质变仪
haoqideyanduola 好奇的嫣朵拉
yanduola 嫣朵拉
fenghuajiejinianqiqiu 风花节纪念气球
fengwuzhishiqin 风物之诗琴
chengehu 尘歌壶
fengyouzhiyuqiu 风佑之羽球
langchuanxiuligongjuxiang 浪船修理工具箱
zhunzhunbaodan 准准爆弹
piaopiaobaodan 飘飘爆弹
tangtangbaodan 烫烫爆弹
leishentonggongmingshi 雷神瞳共鸣石
huazhongxia 化种匣
leizhixunbaoluopan 雷之寻宝罗盘
hongyutuanshan 红羽团扇
liunianjing 留念镜
ayexiahundunkantanqi 阿叶夏混沌勘探器
sifangbafangzhiwang 四方八方之网
jinghuazhiqin 镜花之琴
shixiaojiang 式小将
sifangzhiwang 四方之网
yanhuatong 烟花筒
liumingshichumei 流明石触媒
mushuzhixia 睦疏之匣
huanglong 荒泷
sucaishoujiqi 素材收集器
kushehuan 苦舍桓
senlinshu 森林书
midianzhihe 秘典之盒
caoshentonggongmingshi 草神瞳共鸣石
caozhixunbaoluopan 草之寻宝罗盘
wangshuruiyou 王树瑞佑
shiyanxingchaorandeng 试验型超燃灯
jingzhideliuyingji 精致的留影机
banudezhihui 芭努的智慧
yuxianwendingqi 鱼线稳定器
laojiudeshiqin 老旧的诗琴
bengbengqingdianlapao 蹦蹦庆典拉炮
chishashiban 赤沙石板
qinglieshuimoliuyingji 清冽水沫留影机
mopingzhenling 魔瓶镇灵
yizhibaozhu 意智宝珠
piaojinjiguan 缥锦机关
yezongluopan 野踪罗盘
qiyanzhigu 绮筵之鼓
xuezangzhidoudejiyi 雪葬之都的记忆
rendongzhishudejiyi 忍冬之树的记忆
longjichangqiang 龙脊长枪
chaimenjiachuandemingdaotupu 柴门家传的名刀图谱
guimuzhanzhangzheng 桂木斩长正
xiduoyuanshiwenzi 喜多院十文字
pomozhigong 破魔之弓
fuyoujiyidemianju 附有记忆的面具
guanyusenlinwangdegushi 关于森林王的故事
guanyushamodegushi 关于沙漠的故事
guanyuwangdeshicongdegushi 关于王的侍从的故事
guanyuyueguangdegushi 关于月光的故事
guanyuyizhaodegushi 关于异兆的故事
huiqizhizhenyin 绘绮之枕印
yanlinzhizhenguo 烟林之真果
yunshanfudabaiyujin 云山复沓百雨金
yinyedianzhumantianxing 银夜点注满天星
jiqingyaomanranhanying 霁青杳漫染寒英
xuesanyanhuocidixuan 雪散烟火次第悬
jinzhanyinghuazijuanxuan 金盏荧华自卷旋
ruiyuehuoshuluobaijian 瑞月火树落白间
hanzhuangkejuwuzhituan 憨状可掬梧枝团
yanguangshanshanduduke 焰光闪闪嘟嘟可
caiyunhengtongyisuizhong 财运亨通一岁中
qianzhebuquyouzhuangqi 千折不屈犹壮气
dengxiaobancaizhaolingxi 灯宵斑彩照灵犀
wanminyanjuxiangyaoqi 万民宴聚享肴绮
linglongyutouxuanzhijian 玲珑玉骰玄掷间
quanbanyajiangzhuzhenqin 犬坂牙将助阵勤
pozhangjingqifuguming 破嶂旌旗桴鼓鸣
cijudukanghoucaixia 辞拒杜康吼彩霞
qionglinyulushenglingxun 琼林潏露生灵蕈
fuweijikunxiaoyuegui 扶危济困小月桂
chunshuijingling 纯水精灵
huozhizhaiwuchuliren 火之债务处理人
mooujiangui 魔偶剑鬼
qiuqiuyankuiwang 丘丘岩盔王
cangjingshinv 藏镜仕女
cuilingkongxun 翠翎恐蕈
weiciyixin 唯此一心
lengxuezhijian 冷血之剑
tunazhending 吐纳真定
hantianxuanmingzhuci 寒天宣命祝词
zhonglianliuxiang 重帘留香
chenmodeyuyan 沉没的预言
liuhuojiaozhuo 流火焦灼
jiaochahuoli 交叉火力
maoxianchongjing 冒险憧憬
zhangyeyuanlongshiliuxingqun 长野原龙势流星群
shixingmoya 噬星魔鸦
juexing 觉醒
ditianleifa 抵天雷罚
hunyuanshangzenglun 混元熵增论
pugongyingdeguotu 蒲公英的国土
zhiyuanjiujiaogeiwoba 支援就交给我吧
feiyehuixie 飞叶迴斜
baichuanbenliu 百川奔流
xishutaohui 悉数讨回
jiqiaoshentong 机巧神通
yankui 岩盔
maozhaobingyao 猫爪冰摇
luoyudecaize 落羽的裁择
guanghuidejijie 光辉的季节
jingguzhilong 镜锢之笼
baozizengzhi 孢子增殖
zhanyuyongxian 战欲涌现
xiazhongyuzhi 匣中玉栉
pengpengliwu 砰砰礼物
pililianxiao 霹雳连霄
wojie 我界
modaoxulun 魔导绪论
jilicanzhang 祭礼残章
tiankongzhijuan 天空之卷
yayugong 鸦羽弓
jiligong 祭礼弓
tiankongzhiyi 天空之翼
baitiedajian 白铁大剑
jilidajian 祭礼大剑
langdemolu 狼的末路
baiyingqiang 白缨枪
qianyanchangqiang 千岩长枪
tiankongzhiji 天空之脊
lvxingjian 旅行剑
jilijian 祭礼剑
fengyingjian 风鹰剑
maoxianjiatoudai 冒险家头带
xingyuneryinguan 幸运儿银冠
youyidefangjin 游医的方巾
dutudeerhuan 赌徒的耳环
jiaoguandemaozi 教官的帽子
liufangzhetouguan 流放者头冠
pobingtaxuedehuiyin 破冰踏雪的回音
bingfengmitudeyongshi 冰风迷途的勇士
jiuzichuanmao 酒渍船帽
chenlunzhixin 沉沦之心
jiaozhuodemonvmao 焦灼的魔女帽
chiliedeyanzhimonv 炽烈的炎之魔女
huanleidetouguan 唤雷的头冠
ruleideshengnu 如雷的盛怒
cuilvdelierenzhiguan 翠绿的猎人之冠
cuilvzhiying 翠绿之影
budongxuanshizhixiang 不动玄石之相
yougudepanyan 悠古的磐岩
yueguidebaoguan 月桂的宝冠
shenlindejiyi 深林的记忆
huashizhidou 华饰之兜
jiangshuaidoumou 将帅兜鍪
liyuegangkou 璃月港口
qishituantushuguan 骑士团图书馆
qunyuge 群玉阁
chenxijiuzhuang 晨曦酒庄
wangshukezhan 望舒客栈
xifengdajiaotang 西风大教堂
paimeng 派蒙
kaiselin 凯瑟琳
dimawusi 蒂玛乌斯
wagena 瓦格纳
maoshifu 卯师傅
ayuan 阿圆
timi 提米
liben 立本
changjiuye 常九爷
ailin 艾琳
tiantiezui 田铁嘴
liusu 刘苏
bianxieyingyangdai 便携营养袋
jiaozhizhibing 交织之冰
fensuizhibing 粉碎之冰
jiaozhizhishui 交织之水
yuliaozhishui 愈疗之水
jiaozhizhihuo 交织之火
rechengzhihuo 热诚之火
jiaozhizhilei 交织之雷
qiangnengzhilei 强能之雷
jiaozhizhifeng 交织之风
xunjiezhifeng 迅捷之风
jiaozhizhiyan 交织之岩
jiandingzhiyan 坚定之岩
jiaozhizhicao 交织之草
manshengzhicao 蔓生之草
huanbanshijian 换班时间
yizhiqiankun 一掷乾坤
yunchouweiwo 运筹帷幄
heguizhishi 鹤归之时
xingtianzhizhao 星天之兆
baiezhishu 白垩之术
zhuwujingtong 诸武精通
shenbaoqiangongzhuci 神宝迁宫祝词
kuaikuaifengbushu 快快缝补术
songniyicheng 送你一程
hufazhishi 护法之誓
shenyuandehuhuan 深渊的呼唤
yuanchu 原初
chuanshuo 传说
daren 达人
qingjindeliuxuan 青金的流旋
chujipaishouhuizhang 初级牌手徽章
gaojipaishouhuizhang 高级牌手徽章
zhuanjiapaishouhuizhang 专家牌手徽章
dashipaishouhuizhang 大师牌手徽章
chuanshuopaishouhuizhang 传说牌手徽章
shanyaoxiezou 闪耀协奏
haifengzhimeng 海风之梦
shazhongyoulan 纱中幽兰
nijupianxian 霓裾翩跹
yanhongzhongye 殷红终夜
jiyezhenmeng 极夜真梦
guenxierdedechuancheng 古恩希尔德的传承
xingyuyuezhiyue 星与月之约
zhijiaohuiziyouren 致教会自由人
huashilaixin 花时来信
yeyinfangming 叶隐芳名
maoxianjiadelinshiyingdi 冒险家的临时营地
yuanzhuqianshaodeshenghuo 远驻前哨的生活
zizaideyanshiyucaomu 自在的岩石与草木
jianpiaodeliyueshuifang 简朴的璃月睡房
chaguanyiyu 茶馆一隅
jiaoyededengying 郊野的灯影
wanyongdezhuoyi 万用的桌椅
mangludechufang 忙碌的厨房
xianshichahua 闲时茶话
wanjuanshuzhai 万卷书斋
jiajuwanbeidemengdewoshi 家具完备的蒙德卧室
guanjianliurenhuiyishi 关键六人会议室
juhuiyutongyinzhishi 聚会与痛饮之时
dianyuanmendewujiangongzuocan 店员们的午间工作餐
huikeshidewennuanfangxian 会客室的温暖防线
sheshiwanbeideshufang 设施完备的书房
shanjiandujuzhiwu 山间独居之屋
cunzhenyuanluo 村镇院落
shouhuoshijiedexiaozhentanwei 收获时节的小镇摊位
yingyoujinyoudeguoshushichang 应有尽有的果蔬市场
lianbingchangdeyijiao 练兵场的一角
beizhandebingqigongfang 备战的兵器工坊
huoyunzhongzhuandi 货运中转地
jieqingdeshijing 节庆的市井
yaoxietuisan 妖邪退散
shengyihonghuodeshisi 生意红火的食肆
xiangyedeshuiyuan 乡野的水源
guduerjinshendemaoxianjia 孤独而谨慎的冒险家
qihouxiangjiaozhidi 气候相交之地
xiumuyupanshideduitan 朽木与磐石的对谈
shigechensijian 诗歌沉思间
roufengdiyujian 柔风低语间
feiyunwenzhai 绯云文斋
yanxiarumengge 烟霞入梦阁
mishuyanjiusuo 秘术研究所
chaiyanpaowu 柴烟庖屋
bingrenduanzaozhan 兵刃锻造站
mugezhizhen 牧歌之镇
huaniaogongyuan 花鸟公园
qianjiayongsunfang 千家饔飧坊
baililinlangjie 百里琳琅街
